,Organization Name,NY Reg #,EIN,Registrant Type,City,State
1,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
2,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
3,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
4,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
5,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
6,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
7,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
8,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
9,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
10,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
11,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
12,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
13,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
14,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
15,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,WILLIAMSVILLE,NY
17,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
18,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
19,"100 Lives Foundation, Inc.",45-60-79,364808338,NFP,WASHINGTON,DC
20,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,NEW YORK,NY
21,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
22,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
23,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
24,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,PLEASANTVILLE,NY
25,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
26,"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
27,1068 Franklin Avenue Housing Development Fund Corporation,45-51-94,208317595,NFP,BRONX,NY
28,"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
29,106TH STREET OLDTIMERS INC,06-27-32,133990469,NFP,BRONX,NY
30,1070 Anderson Housing Development Fund Corporation,41-80-86,611559082,NFP,NEW YORK,NY
31,107-109 AVENUE D HOUSING DEVELOPMENT FUND CORPORATION,04-74-17,133581305,NFP,NEW YORK,NY
33,1078-82 BEDFORD AVE HOUSING DEVELOPMENT FUND CORP,05-95-96,113344802,NFP,BROOKLYN,NY
34,107 Linden Street Housing Development Fund Corporation,41-51-73,113580996,NFP,QUEENS VILLAGE,NY
35,10 Freedom Place Housing Development Fund Corporation,46-36-74,475005707,NFP,NEW YORK,NY
36,"10 in 10 Project, Inc.",40-12-38,205326666,NFP,FT. MONTGOMERY,NY
37,10 ORCHARD STREET HOUSING DEVELOPMENT FUND CO INC,05-37-28,132683270,NFP,ELMSFORD,NY
38,"10 Thousand Windows, Inc.",46-50-29,272505761,NFP,KNOXVILLE,TN
39,1106 COLLEGE AVENUE HOUSING DEVELOPMENT FUND CORPORATION,21-11-16,753100052,NFP,BRONX,NY
40,110 Madison Housing Development Fund Corporation,43-58-15,454897009,NFP,NEW YORK,NY
41,"110 Precinct Community Council, Inc.",41-37-18,432025653,NFP,ELMHURST,NY
42,1114 MORRIS AVENUE HOUSING DEVELOPMENT FUND CORPORATION,20-73-54,133998580,NFP,BRONX,NY
43,"1 SG Michael S. Curry Memorial Foundation, Inc.",41-44-93,261211059,NFP,NEW YORK,NY
44,"American Agora Foundation, Inc.",40-62-78,204000236,NFP,NEW YORK,NY
45,AMERICAN CLASSICAL ORCHESTRA INC,15-89-17,061072470,NFP,NEW YORK,NY
46,Anita Kaufmann Foundation,21-30-74,300233976,NFP,TEANECK,NJ
47,"AOPA Foundation, Inc.",40-51-26,208817225,NFP,FREDERICK,MD
49,ARNOLD GOLD FOUNDATION,21-38-43,223052098,NFP,ENGLEWOOD CLIFFS,NJ
50,BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
51,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
52,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
53,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
54,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
55,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
56,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
57,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
58,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
59,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
60,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
61,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
62,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
63,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
65,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
66,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
67,Freedom Fund,44-63-63,300805758,NFP,NEW YORK,NY
68,GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
69,"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
70,"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
71,Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
72,"HETL Association, Inc.",43-82-58,453307445,NFP,KEW GARDENS,NY
73,High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
74,"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
75,I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
76,"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
77,"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
78,ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
79,"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
81,JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
82,KEKST FAMILY FOUNDATION,03-98-66,133382250,NFP,NEW YORK,NY
83,KEUKA HOUSING COUNCIL INC,02-32-90,161092291,NFP,PENN YAN,NY
